date,time,temperature,dewpoint,humidity,windspeed,condition
2016-01-01,00:51,43,29,58,17,Cloudy
2016-01-01,01:51,43,28,56,16,Cloudy
2016-01-01,02:51,42,27,55,13,Cloudy
2016-01-01,03:51,42,27,55,13,Cloudy
2016-01-01,04:51,41,28,60,13,Cloudy
2016-01-01,05:51,41,28,60,13,Cloudy
2016-01-01,06:51,41,28,60,13,Mostly Cloudy
2016-01-01,07:51,41,27,57,10,Cloudy
2016-01-01,08:51,40,26,58,10,Mostly Cloudy
2016-01-01,09:51,40,26,58,9,Cloudy
2016-01-01,10:51,41,25,53,12,Cloudy
2016-01-01,11:51,42,26,53,14,Mostly Cloudy
2016-01-01,12:51,41,25,53,14,Cloudy
2016-01-01,13:51,41,25,53,16,Cloudy
2016-01-01,14:51,40,25,55,18,Mostly Cloudy
2016-01-01,15:51,40,22,49,15,Mostly Cloudy
2016-01-01,16:51,40,20,45,14,Partly Cloudy
2016-01-01,17:51,39,20,46,13,Partly Cloudy
2016-01-01,18:51,39,22,50,15,Partly Cloudy
2016-01-01,19:51,38,22,53,10,Fair
2016-01-01,20:51,38,20,48,12,Fair
2016-01-01,21:51,37,19,48,15,Fair
2016-01-01,22:51,36,19,50,16,Fair
2016-01-01,23:51,37,16,42,15,Fair
2016-01-02,00:51,36,16,44,13,Fair
2016-01-02,01:51,36,17,46,20,Fair
2016-01-02,02:51,36,18,48,14,Mostly Cloudy
2016-01-02,03:51,36,19,50,18,Mostly Cloudy
2016-01-02,04:51,35,20,54,18,Partly Cloudy
2016-01-02,05:51,35,20,54,18,Fair
2016-01-02,06:51,35,20,54,12,Partly Cloudy
2016-01-02,07:51,35,20,54,8,Mostly Cloudy
2016-01-02,08:51,35,18,50,9,Mostly Cloudy
2016-01-02,09:51,36,18,48,13,Mostly Cloudy
2016-01-02,10:51,37,18,46,14,Mostly Cloudy
2016-01-02,11:51,38,20,48,15,Mostly Cloudy
2016-01-02,12:51,40,19,43,7,Partly Cloudy
2016-01-02,13:51,40,20,45,12,Mostly Cloudy
2016-01-02,14:51,40,20,45,10,Mostly Cloudy
2016-01-02,15:51,40,20,45,12,Mostly Cloudy
2016-01-02,16:51,41,21,45,18,Mostly Cloudy
2016-01-02,17:51,39,19,45,16,Partly Cloudy
2016-01-02,18:51,38,20,48,8,Fair
2016-01-02,19:51,37,19,48,7,Fair
2016-01-02,20:51,37,19,48,7,Fair
2016-01-02,21:51,37,20,50,12,Fair
2016-01-02,22:51,37,20,50,10,Fair
2016-01-02,23:51,37,21,52,13,Fair
2016-01-03,00:51,37,21,52,9,Fair
2016-01-03,01:51,37,21,52,12,Fair
2016-01-03,02:51,36,22,57,8,Fair
2016-01-03,03:51,37,22,54,9,Fair
2016-01-03,04:51,37,21,52,13,Fair
2016-01-03,05:51,37,23,57,9,Fair
2016-01-03,06:51,38,22,53,10,Fair
2016-01-03,07:51,38,23,55,9,Fair
2016-01-03,08:51,41,22,47,16,Fair
2016-01-03,09:51,43,22,43,13,Fair
2016-01-03,10:51,45,21,39,12,Partly Cloudy
2016-01-03,11:51,46,20,35,15,Partly Cloudy
2016-01-03,12:51,46,22,39,17,Partly Cloudy
2016-01-03,13:51,45,23,42,17,Partly Cloudy
2016-01-03,14:51,44,25,47,16,Partly Cloudy
2016-01-03,15:51,43,22,43,15,Partly Cloudy
2016-01-03,16:51,43,23,45,9,Mostly Cloudy
2016-01-03,17:51,43,24,47,9,Partly Cloudy
2016-01-03,18:51,42,23,47,12,Partly Cloudy
2016-01-03,19:51,40,24,53,14,Partly Cloudy
2016-01-03,20:51,40,24,53,13,Fair
2016-01-03,21:51,39,25,57,10,Fair
2016-01-03,22:51,39,25,57,13,Fair
2016-01-03,23:51,39,25,57,12,Fair
2016-01-04,00:51,38,25,60,16,Fair
2016-01-04,01:51,38,25,60,13,Mostly Cloudy
2016-01-04,02:51,37,21,52,23,Mostly Cloudy / Windy
2016-01-04,03:51,36,19,50,18,Mostly Cloudy
2016-01-04,04:51,35,18,50,13,Mostly Cloudy
2016-01-04,05:51,33,19,56,16,Partly Cloudy
2016-01-04,06:51,32,19,59,14,Mostly Cloudy
2016-01-04,07:51,31,18,59,18,Mostly Cloudy
2016-01-04,08:51,31,17,57,15,Mostly Cloudy
2016-01-04,09:51,31,15,52,18,Partly Cloudy
2016-01-04,10:51,30,12,47,17,Fair
2016-01-04,11:51,31,11,43,17,Fair
2016-01-04,12:51,31,9,40,15,Fair
2016-01-04,13:51,31,9,40,24,Fair / Windy
2016-01-04,14:51,29,11,47,16,Fair
2016-01-04,15:51,27,9,47,21,Fair / Windy
2016-01-04,16:51,24,8,51,22,Fair / Windy
2016-01-04,17:51,23,9,55,15,Fair
2016-01-04,18:51,21,6,53,23,Partly Cloudy / Windy
2016-01-04,19:51,20,7,57,21,Mostly Cloudy / Windy
2016-01-04,20:51,19,6,57,24,Mostly Cloudy / Windy
2016-01-04,21:51,18,6,60,28,Fair / Windy
2016-01-04,22:51,16,5,62,25,Partly Cloudy / Windy
2016-01-04,23:51,16,5,62,16,Mostly Cloudy
2016-01-05,00:51,15,5,64,23,Fair / Windy
2016-01-05,01:51,14,4,64,17,Fair
2016-01-05,02:51,15,4,61,16,Fair
2016-01-05,03:51,14,5,67,18,Fair
2016-01-05,04:51,14,4,64,18,Fair
2016-01-05,05:51,14,3,62,15,Fair
2016-01-05,06:51,14,3,62,16,Fair
2016-01-05,07:51,14,5,67,14,Fair
2016-01-05,08:51,16,4,59,12,Fair
2016-01-05,09:51,19,4,52,9,Fair
2016-01-05,10:51,20,3,48,18,Fair
2016-01-05,11:51,22,1,40,13,Fair
2016-01-05,12:51,25,0,34,13,Fair
2016-01-05,13:51,27,1,33,9,Fair
2016-01-05,14:51,29,-1,28,13,Fair
2016-01-05,15:51,29,-1,28,7,Fair
2016-01-05,16:51,28,2,33,6,Fair
2016-01-05,17:51,28,4,36,7,Fair
2016-01-05,18:51,28,7,41,6,Fair
2016-01-05,19:51,28,7,41,0,Fair
2016-01-05,20:51,29,6,38,0,Fair
2016-01-05,21:51,29,2,32,3,Fair
2016-01-05,22:51,30,5,35,6,Fair
2016-01-05,23:51,30,4,33,0,Fair
2016-01-06,00:51,30,6,36,6,Fair
2016-01-06,01:51,30,6,36,5,Fair
2016-01-06,02:51,28,5,38,0,Cloudy
2016-01-06,03:51,27,7,43,0,Fair
2016-01-06,04:51,27,10,49,0,Cloudy
2016-01-06,05:51,27,11,51,3,Cloudy
2016-01-06,06:51,27,11,51,5,Cloudy
2016-01-06,07:51,28,10,47,5,Cloudy
2016-01-06,08:51,31,9,40,9,Fair
2016-01-06,09:51,33,4,29,12,Fair
2016-01-06,10:51,34,7,32,8,Partly Cloudy
2016-01-06,11:51,37,4,25,8,Partly Cloudy
2016-01-06,12:51,40,3,21,3,Fair
2016-01-06,13:51,42,2,19,0,Fair
2016-01-06,14:51,41,2,20,10,Fair
2016-01-06,15:51,41,4,21,10,Fair
2016-01-06,16:51,38,11,33,10,Fair
2016-01-06,17:51,38,14,38,7,Fair
2016-01-06,18:51,39,7,27,9,Fair
2016-01-06,19:51,38,9,30,8,Fair
2016-01-06,20:51,37,7,29,7,Fair
2016-01-06,21:51,37,9,31,9,Fair
2016-01-06,22:51,37,9,31,6,Fair
2016-01-06,23:51,35,10,35,7,Fair
2016-01-07,00:51,34,9,35,6,Fair
2016-01-07,01:51,35,11,37,3,Fair
2016-01-07,02:51,34,10,37,6,Fair
2016-01-07,03:51,33,13,43,3,Fair
2016-01-07,04:51,33,12,42,5,Fair
2016-01-07,05:51,34,15,46,10,Partly Cloudy
2016-01-07,06:51,34,11,38,5,Partly Cloudy
2016-01-07,07:51,35,10,35,0,Mostly Cloudy
2016-01-07,08:51,38,8,29,5,Cloudy
2016-01-07,09:51,40,12,32,3,Fair
2016-01-07,10:51,43,11,27,0,Cloudy
2016-01-07,11:51,44,10,25,0,Mostly Cloudy
2016-01-07,12:51,45,14,29,3,Cloudy
2016-01-07,13:51,46,15,29,0,Mostly Cloudy
2016-01-07,14:51,46,16,30,0,Mostly Cloudy
2016-01-07,15:51,47,16,29,3,Mostly Cloudy
2016-01-07,16:51,46,18,33,3,Mostly Cloudy
2016-01-07,17:51,45,22,40,0,Mostly Cloudy
2016-01-07,18:51,46,25,44,3,Mostly Cloudy
2016-01-07,19:51,45,22,40,0,Fair
2016-01-07,20:51,42,27,55,6,Fair
2016-01-07,21:51,41,20,43,7,Fair
2016-01-07,22:51,40,17,40,5,Fair
2016-01-07,23:51,40,17,40,6,Fair
2016-01-08,00:51,38,22,53,6,Fair
2016-01-08,01:51,37,21,52,8,Fair
2016-01-08,02:51,37,22,54,7,Partly Cloudy
2016-01-08,03:51,36,20,52,5,Fair
2016-01-08,04:51,35,18,50,8,Fair
2016-01-08,05:51,35,18,50,9,Fair
2016-01-08,06:51,35,21,57,6,Fair
2016-01-08,07:51,35,24,64,7,Partly Cloudy
2016-01-08,08:51,37,25,62,9,Mostly Cloudy
2016-01-08,09:51,39,30,70,13,Mostly Cloudy
2016-01-08,10:51,41,31,67,13,Mostly Cloudy
2016-01-08,11:51,43,32,65,16,Mostly Cloudy
2016-01-08,12:51,42,33,70,12,Cloudy
2016-01-08,13:51,42,33,70,16,Cloudy
2016-01-08,14:51,43,34,71,12,Mostly Cloudy
2016-01-08,15:51,44,35,71,7,Cloudy
